locationid	dateforecastfor	dateforecastmade	maxtemp	mintemp	tempunit	conditions	conditionsicon
Edinburgh	2016-08-10	2016-08-10	13	12	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-08-11	2016-08-11	17	14	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-08-12	2016-08-12	17	12	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-08-13	2016-08-13	16	11	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-08-14	2016-08-14	17	9	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-08-15	2016-08-15	19	11	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-08-16	2016-08-16	21	10	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-08-17	2016-08-17	20	11	C	Fog	http://icons.wxug.com/i/c/k/fog.gif
Edinburgh	2016-08-18	2016-08-18	20	11	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-08-19	2016-08-19	16	12	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-08-21	2016-08-21	18	13	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-08-20	2016-08-20	17	11	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-08-22	2016-08-22	20	10	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-08-23	2016-08-23	17	11	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-08-24	2016-08-24	21	10	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-08-25	2016-08-25	14	12	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-08-28	2016-08-28	19	11	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-08-26	2016-08-26	18	11	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-08-27	2016-08-27	18	12	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-08-31	2016-08-31	16	11	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-08-29	2016-08-29	18	14	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-08-30	2016-08-30	21	14	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-01	2016-09-01	17	12	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-09-02	2016-09-02	18	11	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-09-03	2016-09-03	17	11	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-09-04	2016-09-04	21	12	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-09-05	2016-09-05	21	16	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-06	2016-09-06	22	14	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-07	2016-09-07	22	16	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-08	2016-09-08	19	12	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-09	2016-09-09	17	9	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-09-10	2016-09-10	17	9	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-11	2016-09-11	17	13	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-12	2016-09-12	21	17	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-09-13	2016-09-13	21	12	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-14	2016-09-14	14	13	C	Fog	http://icons.wxug.com/i/c/k/fog.gif
Edinburgh	2016-09-16	2016-09-16	17	9	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-15	2016-09-15	18	12	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-09-17	2016-09-17	17	11	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-18	2016-09-18	18	10	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-19	2016-09-19	16	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-20	2016-09-20	16	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-23	2016-09-23	15	13	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-21	2016-09-21	16	11	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-09-22	2016-09-22	14	8	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-09-24	2016-09-24	18	13	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-25	2016-09-25	16	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-26	2016-09-26	12	8	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-09-27	2016-09-27	17	12	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-28	2016-09-28	18	11	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-29	2016-09-29	15	8	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-30	2016-09-30	12	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-02	2016-10-02	12	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-01	2016-10-01	12	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-03	2016-10-03	15	7	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-10-04	2016-10-04	16	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-06	2016-10-06	13	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-10-05	2016-10-05	15	6	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-10-07	2016-10-07	13	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
