questionid,uniquequestionid_initial,uniquequestionid_mid,uniquequestionid_end,response_location_initial,response_location_mid,response_location_end,surveyid_initial,surveyid_mid,surveyid_end,superquestion_wording_initial,superquestion_wording_mid,superquestion_wording_end,question_wording_initial,question_wording_mid,question_wording_end,attribution
access_cinemas_8,access_cinemas_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,"a. cinemas, museums, art galleries, theatres",,,No attribution
access_countryside_8,access_countryside_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,i. wild spaces such as the countryside or woods,,,No attribution
access_education_8,access_education_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,k. schools and other educational institutions,,,No attribution
access_groceryshops_8,access_groceryshops_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,"b. shops for day to day items (for example, food, cleaning products)",,,No attribution
access_gyms_8,access_gyms_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,g. gyms and sports centres,,,No attribution
access_libraries_8,access_libraries_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,d. libraries and community centres,,,No attribution
access_othershops_8,access_othershops_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,"c. shops for other items (such as clothes, books, toys, electrical appliances)",,,No attribution
access_parks_8,access_parks_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,h. public parks and gardens,,,No attribution
access_restaurants_8,access_restaurants_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,"f. restaurants, pubs, bars and clubs",,,No attribution
access_work_8,access_work_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,j. your place of work [exclude if not in work],,,No attribution
access_worship_8,access_worship_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"I'm going to read through a list of different kinds of places. I'd like you to say how easy you feel it is for you personally to access these different kinds of places from your home. Please give a number on a scale from 1 to 7, where 1 is Very difficult to access, and 7 is Very easy to access. <b>[Show card 'amenity_access']</b><div>[If asked, emphasise this is regardless of whether they use these]:</div>",,,"e. places of worship for your own religion, if you have any",,,No attribution
affordable_energy_4b,,,affordable_energy_4b_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,My energy bills are affordable,No attribution
ageband,ageband,ageband,,person,person,,primary_facetoface_initial,primary_web_mid,,[N/A] OR What are their age bands? [Show card ageband_B],What are their age bands?,,What is your age band? [Show card ageband] OR [Person's name],[Person's name],,"ARCC-Water Survey, 2011; Wynford Survey, 2012"
ageleavingeducation,ageleavingeducation,ageleavingeducation,,person,person,,primary_facetoface_initial,primary_web_mid,,,,,"How old were you when you finished your continuous full-time education? By continuous, I mean with no more than a year's break between periods of study. [If highest qualification was PhD, emphasise that this question counts PhDs as education (it is employment in some countries)][Code 96 for not yet completed, 97 for none]","<div>How old were each of them when they finished their continuous full-time education?</div><div>(with no more than a year's break between periods of study)</div><div><br></div><div>Enter a 0 if they have not yet finished, or 99 if you don't know.</div>",,"English Housing Survey, 2013-2014, question EdAgeCor; Living Costs and Food Survey, 2011. Volume B: Household Questionnaire, question EdAgeCor"
air_conditioning,air_conditioning,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,l. Portable air conditioners,,,"ARCC-Water Survey, 2011"
