uniquequestionid,response_wording
access_cinemas_8_initial,1: Very difficult to access
access_cinemas_8_initial,2
access_cinemas_8_initial,3
access_cinemas_8_initial,4
access_cinemas_8_initial,5
access_cinemas_8_initial,6
access_cinemas_8_initial,7: Very easy to access
access_countryside_8_initial,1: Very difficult to access
access_countryside_8_initial,2
access_countryside_8_initial,3
access_countryside_8_initial,4
access_countryside_8_initial,5
access_countryside_8_initial,6
access_countryside_8_initial,7: Very easy to access
access_education_8_initial,1: Very difficult to access
access_education_8_initial,2
access_education_8_initial,3
access_education_8_initial,4
access_education_8_initial,5
access_education_8_initial,6
access_education_8_initial,7: Very easy to access
access_groceryshops_8_initial,1: Very difficult to access
access_groceryshops_8_initial,2
access_groceryshops_8_initial,3
access_groceryshops_8_initial,4
access_groceryshops_8_initial,5
access_groceryshops_8_initial,6
access_groceryshops_8_initial,7: Very easy to access
access_gyms_8_initial,1: Very difficult to access
access_gyms_8_initial,2
access_gyms_8_initial,3
access_gyms_8_initial,4
access_gyms_8_initial,5
access_gyms_8_initial,6
access_gyms_8_initial,7: Very easy to access
access_libraries_8_initial,1: Very difficult to access
access_libraries_8_initial,2
access_libraries_8_initial,3
access_libraries_8_initial,4
access_libraries_8_initial,5
access_libraries_8_initial,6
access_libraries_8_initial,7: Very easy to access
access_othershops_8_initial,1: Very difficult to access
access_othershops_8_initial,2
access_othershops_8_initial,3
access_othershops_8_initial,4
access_othershops_8_initial,5
access_othershops_8_initial,6
access_othershops_8_initial,7: Very easy to access
access_parks_8_initial,1: Very difficult to access
access_parks_8_initial,2
access_parks_8_initial,3
access_parks_8_initial,4
access_parks_8_initial,5
access_parks_8_initial,6
access_parks_8_initial,7: Very easy to access
access_restaurants_8_initial,1: Very difficult to access
access_restaurants_8_initial,2
access_restaurants_8_initial,3
access_restaurants_8_initial,4
access_restaurants_8_initial,5
access_restaurants_8_initial,6
access_restaurants_8_initial,7: Very easy to access
access_work_8_initial,1: Very difficult to access
access_work_8_initial,2
access_work_8_initial,3
access_work_8_initial,4
access_work_8_initial,5
access_work_8_initial,6
access_work_8_initial,7: Very easy to access
access_worship_8_initial,1: Very difficult to access
access_worship_8_initial,2
access_worship_8_initial,3
access_worship_8_initial,4
access_worship_8_initial,5
access_worship_8_initial,6
access_worship_8_initial,7: Very easy to access
affordable_energy_4b_end,1: Strongly disagree
affordable_energy_4b_end,2
affordable_energy_4b_end,3
affordable_energy_4b_end,4: Neither agree nor disagree
affordable_energy_4b_end,5
affordable_energy_4b_end,6
affordable_energy_4b_end,7: Strongly agree
ageband,0-4
ageband,5-9
ageband,10-14
ageband,15-19
ageband,20-24
ageband,25-29
ageband,30-34
ageband,35-39
ageband,40-44
ageband,45-49
ageband,50-54
ageband,55-59
ageband,60-64
ageband,65-69
ageband,70-74
ageband,75-79
ageband,80+
ageband,Refused
air_conditioning,0
air_conditioning,1
air_conditioning,2
air_conditioning,3
air_conditioning,4
air_conditioning,5+
aquarium_mid,Replaced
aquarium_mid,Got or installed additional
aquarium_mid,Fallen out of use
aware_energyuse_7a_end,1: No idea
aware_energyuse_7a_end,2
aware_energyuse_7a_end,3
aware_energyuse_7a_end,4: Some idea
aware_energyuse_7a_end,5
aware_energyuse_7a_end,6
aware_energyuse_7a_end,7: A very good idea
aware_energyuse_7a_initial,No idea: 1
aware_energyuse_7a_initial,2
aware_energyuse_7a_initial,3
aware_energyuse_7a_initial,Some idea: 4
aware_energyuse_7a_initial,5
aware_energyuse_7a_initial,6
aware_energyuse_7a_initial,A very good idea: 7
aware_energyuse_7a_mid,No idea: 1
aware_energyuse_7a_mid,2
aware_energyuse_7a_mid,3
aware_energyuse_7a_mid,Some idea: 4
aware_energyuse_7a_mid,5
aware_energyuse_7a_mid,6
aware_energyuse_7a_mid,A very good idea: 7
bath_mid,Replaced
bath_mid,Got or installed additional
bath_mid,Fallen out of use
bathroom_sink_mid,Replaced
bathroom_sink_mid,Got or installed additional
bathroom_sink_mid,Fallen out of use
boiler_mid,Replaced
boiler_mid,Got or installed additional
boiler_mid,Fallen out of use
build_era,Before 1850
build_era,1850-1899
build_era,1900-1918
build_era,1919-1930
build_era,1931-1944
build_era,1945-1964
build_era,1965-1980
build_era,1981-1990
build_era,1991-1995
build_era,1996-2001
build_era,2002 or later
buyappliances_brand_4b_initial,Not important at all: 1
buyappliances_brand_4b_initial,2
buyappliances_brand_4b_initial,3
buyappliances_brand_4b_initial,Somewhat important: 4
buyappliances_brand_4b_initial,5
buyappliances_brand_4b_initial,6
buyappliances_brand_4b_initial,Very important: 7
buyappliances_energyeffic_4b_initial,Not important at all: 1
buyappliances_energyeffic_4b_initial,2
buyappliances_energyeffic_4b_initial,3
buyappliances_energyeffic_4b_initial,Somewhat important: 4
buyappliances_energyeffic_4b_initial,5
buyappliances_energyeffic_4b_initial,6
buyappliances_energyeffic_4b_initial,Very important: 7
buyappliances_env_4b_initial,Not important at all: 1
buyappliances_env_4b_initial,2
buyappliances_env_4b_initial,3
buyappliances_env_4b_initial,Somewhat important: 4
buyappliances_env_4b_initial,5
buyappliances_env_4b_initial,6
buyappliances_env_4b_initial,Very important: 7
buyappliances_features_4b_initial,Not important at all: 1
buyappliances_features_4b_initial,2
buyappliances_features_4b_initial,3
buyappliances_features_4b_initial,Somewhat important: 4
buyappliances_features_4b_initial,5
buyappliances_features_4b_initial,6
buyappliances_features_4b_initial,Very important: 7
buyappliances_price_4b_initial,Not important at all: 1
buyappliances_price_4b_initial,2
buyappliances_price_4b_initial,3
buyappliances_price_4b_initial,Somewhat important: 4
buyappliances_price_4b_initial,5
buyappliances_price_4b_initial,6
buyappliances_price_4b_initial,Very important: 7
buyappliances_reviews_4b_initial,Not important at all: 1
buyappliances_reviews_4b_initial,2
buyappliances_reviews_4b_initial,3
buyappliances_reviews_4b_initial,Somewhat important: 4
buyappliances_reviews_4b_initial,5
buyappliances_reviews_4b_initial,6
buyappliances_reviews_4b_initial,Very important: 7
buyappliances_sociallyethical_4b_initial,Not important at all: 1
buyappliances_sociallyethical_4b_initial,2
buyappliances_sociallyethical_4b_initial,3
buyappliances_sociallyethical_4b_initial,Somewhat important: 4
buyappliances_sociallyethical_4b_initial,5
buyappliances_sociallyethical_4b_initial,6
buyappliances_sociallyethical_4b_initial,Very important: 7
central_heating_thermostat_mid,Replaced
central_heating_thermostat_mid,Got or installed additional
central_heating_thermostat_mid,Fallen out of use
comfortable_temp_1e_end,1: Strongly disagree
comfortable_temp_1e_end,2
comfortable_temp_1e_end,3
comfortable_temp_1e_end,4: Neither agree nor disagree
comfortable_temp_1e_end,5
comfortable_temp_1e_end,6
comfortable_temp_1e_end,7: Strongly agree
computer,0
computer,1
computer,2
computer,3
computer,4
computer,5+
cooker_mid,Replaced
cooker_mid,Got or installed additional
cooker_mid,Fallen out of use
damp_probs_1d_end,1: Strongly disagree
damp_probs_1d_end,2
damp_probs_1d_end,3
damp_probs_1d_end,4: Neither agree nor disagree
damp_probs_1d_end,5
damp_probs_1d_end,6
damp_probs_1d_end,7: Strongly agree
dehumidifier,0
dehumidifier,1
dehumidifier,2
dehumidifier,3
dehumidifier,4
dehumidifier,5+
dehumidifier_mid,Replaced
dehumidifier_mid,Got or installed additional
dehumidifier_mid,Fallen out of use
dishwasher_mid,Replaced
dishwasher_mid,Got or installed additional
dishwasher_mid,Fallen out of use
